system:index,count,﻿Site_ID,.geo
00000000000000000112,104916,15MYA8_8_10122021,"{""type"":""Polygon"",""coordinates"":[[[24.141002338421142,-14.680200682577166],[24.140740044600722,-14.680218657664708],[24.140482989972156,-14.680272223883728],[24.14023630908456,-14.680360311274582],[24.14000492929099,-14.680481160332022],[24.139793472332332,-14.680632357148077],[24.139606162023625,-14.680810881625773],[24.139446739886377,-14.6810131678008],[24.13931839041181,-14.681235175066744],[24.139223677447923,-14.681472468881429],[24.139164492981326,-14.681720309342673],[24.139142019337225,-14.681973745864527],[24.139156705553265,-14.68222771606306],[24.13920825839999,-14.682477146876623],[24.139295648227918,-14.682717055900827],[24.13941712952536,-14.682942650913946],[24.139570275777068,-14.683149425604674],[24.13975202792799,-14.683333249589692],[24.139958755484646,-14.68349045092282],[24.140186329033757,-14.683617889447023],[24.14043020272967,-14.683713019523873],[24.140685505102766,-14.68377394088697],[24.140947136374358,-14.683799436603172],[24.141209870333878,-14.683788997383152],[24.141468458742384,-14.68374283175543],[24.141717736176382,-14.6836618619006],[24.141952723216654,-14.683547705229044],[24.142168725920335,-14.683402642070117],[24.142361429588497,-14.683229570118666],[24.142526984955854,-14.683031946548908],[24.14266208508058,-14.682813718952456],[24.142764031398364,-14.682579246480339],[24.142830787621385,-14.682333212764611],[24.14286102040603,-14.682080532359263],[24.14285412597754,-14.68182625256959],[24.14281024218045,-14.681575452631117],[24.14273024571494,-14.681333142252166],[24.142615734615124,-14.681104161546525],[24.142468996319963,-14.680893084355066],[24.14229296197536,-14.680704126887113],[24.14209114788067,-14.68054106350628],[24.141867585249535,-14.680407151342449],[24.14162673968824,-14.68030506523546],[24.14137342199977,-14.680236844309604],[24.141112692094946,-14.680203851245768],[24.141002338421142,-14.680200682577166]]]}"
000000000000000003dd,128590,8MINS8_3_2832022,"{""type"":""Polygon"",""coordinates"":[[[24.15561481257329,-12.415793362919443],[24.155355005133597,-12.415811338030485],[24.155100387241617,-12.415864904318124],[24.154856044792286,-12.415952991817273],[24.154626858444722,-12.416073841014061],[24.15441740613754,-12.416225037989456],[24.15423187164919,-12.4164035626338],[24.15407396102949,-12.416605848969544],[24.153946828571378,-12.416827856377497],[24.153853013801697,-12.417065150304186],[24.153794390749674,-12.417312990838534],[24.15377213050689,-12.41756642738877],[24.153786677827096,-12.417820397568711],[24.153837742233875,-12.41806982831819],[24.153924303814453,-12.41830973723791],[24.1540446335846,-12.418535332114454],[24.154196328018475,-12.41874210664736],[24.154376357054172,-12.418925930465878],[24.154581124616474,-12.419083131637048],[24.15480654044807,-12.419210570016716],[24.155048101814447,-12.419305699977949],[24.155300983450278,-12.419366621263531],[24.155560133950168,-12.419392116946492],[24.155820376678058,-12.419381677740141],[24.156076513178846,-12.41933551217191],[24.156323427025992,-12.419254542417676],[24.156556186030105,-12.4191403858798],[24.156770140766206,-12.418995322877032],[24.156961017451035,-12.418822251091797],[24.15712500331491,-12.418624627685091],[24.157258822762362,-12.418406400235567],[24.15735980280045,-12.418171927882577],[24.157425926427717,-12.417925894248702],[24.1574558729179,-12.417673213881429],[24.157449044194,-12.417418934083013],[24.157405576766596,-12.417168134089694],[24.15732633899855,-12.416925823614143],[24.157212913751444,-12.416696842777828],[24.157067566760958,-12.416485765432004],[24.15689320137358,-12.416296807798284],[24.156693300548994,-12.416133744253449],[24.156471857287112,-12.415999831940418],[24.156233294869427,-12.415897745710895],[24.155982378507716,-12.415829524698914],[24.155724120164738,-12.415796531592205],[24.15561481257329,-12.415793362919443]]]}"
000000000000000000c6,129569,14CHI18_6_2122021,"{""type"":""Polygon"",""coordinates"":[[[23.28799860240221,-13.853197964800883],[23.28773726951427,-13.853215939897057],[23.287481156631454,-13.85326950614129],[23.287235379498785,-13.853357593571939],[23.287004847422875,-13.853478442680581],[23.286794165215824,-13.853629639555187],[23.286607541219368,-13.853808164094117],[23.28644870324603,-13.854010450328197],[23.28632082411624,-13.854232457646324],[23.286226458278705,-13.854469751502164],[23.286167490780258,-13.854717591990267],[23.286145099604994,-13.854971028522552],[23.286159732135392,-13.855224998714252],[23.286211096206422,-13.855474429504268],[23.286298165932042,-13.85571433849008],[23.286419202188384,-13.855939933453016],[23.286571787345313,-13.856146708085749],[23.286752873553098,-13.856330532009592],[23.2869588436201,-13.856487733283208],[23.28718558326578,-13.856615171754303],[23.287428563305703,-13.856710301788672],[23.28768293012675,-13.856771223123282],[23.28794360264496,-13.856796718827269],[23.288205373808687,-13.856786279612274],[23.28846301461879,-13.85674011400641],[23.288711378587507,-13.856659144188548],[23.28894550454845,-13.856544987566105],[23.289160715763575,-13.856399924464561],[23.28935271334674,-13.856226852574185],[23.28951766213729,-13.856029229064342],[23.289652267308114,-13.855811001521875],[23.28975384017784,-13.85557652909353],[23.289820351912688,-13.855330495407882],[23.28985047404576,-13.855077815016523],[23.289843605004773,-13.85482353522364],[23.289799882119183,-13.854572735265014],[23.289720178867434,-13.854330424850566],[23.289606087420182,-13.85410144409691],[23.289459886828883,-13.853890366848727],[23.289284497495796,-13.853701409319866],[23.289083422835336,-13.853538345878775],[23.288860679292373,-13.85340443366012],[23.288620716115464,-13.853302347508105],[23.28836832648738,-13.853234126550602],[23.28810855178775,-13.853201133471014],[23.28799860240221,-13.853197964800883]]]}"
0000000000000000018f,2268,19MYA16_8_1132021,"{""type"":""Polygon"",""coordinates"":[[[24.182030527213907,-14.6117891542152],[24.18176831522677,-14.61180712930346],[24.181511340797524,-14.611860695524575],[24.181264736873917,-14.61194878291873],[24.18103342927214,-14.612069631980418],[24.180822038291428,-14.612220828801338],[24.180634786429103,-14.612399353284115],[24.18047541403922,-14.612601639464044],[24.180347104619102,-14.612823646734318],[24.180252421216338,-14.61306094055242],[24.180193255226545,-14.61330878101589],[24.180170788605256,-14.613562217538613],[24.18018547024919,-14.61381618773658],[24.180237007019553,-14.614065618548187],[24.18032436958737,-14.6143055275692],[24.180445812984964,-14.61453112257816],[24.18059891145374,-14.614737897264067],[24.180780606892903,-14.614921721244016],[24.18098726994177,-14.6150789225722],[24.181214772475748,-14.615206361091992],[24.18145857006805,-14.615301491165319],[24.181713792769706,-14.61536241252605],[24.181975342394058,-14.61538790824124],[24.182237994362076,-14.615377469021638],[24.182496502073292,-14.615331303395731],[24.18274570171674,-14.615250333543967],[24.182980615427606,-14.615136176876486],[24.183196550728166,-14.614991113722322],[24.18338919426612,-14.614818041775942],[24.183554697977325,-14.61462041821116],[24.183689755951647,-14.614402190619185],[24.183791670466416,-14.614167718150703],[24.1838584058686,-14.61392168443747],[24.183888629229934,-14.613669004033286],[24.183881736963205,-14.613414724243345],[24.18383786686912,-14.613163924303198],[24.183757895373514,-14.6129216139213],[24.183643420011176,-14.612692633211676],[24.183496727506807,-14.612481556015503],[24.183320748091393,-14.6122925985425],[24.183118996966986,-14.61212953515667],[24.18289550408954,-14.611995622988283],[24.182654733672297,-14.611893536877556],[24.18240149501769,-14.611825315949076],[24.182140846458406,-14.611792322883932],[24.182030527213907,-14.6117891542152]]]}"
00000000000000000295,128236,37MIN34_11_532022,"{""type"":""Polygon"",""coordinates"":[[[24.34994689558351,-11.805266623984798],[24.349687681504285,-11.805284599102098],[24.349433645125995,-11.805338165408026],[24.349189860732977,-11.805426252936037],[24.34896119784147,-11.805547102169967],[24.348752223937144,-11.805698299187828],[24.34856711324402,-11.805876823876586],[24.34840956334668,-11.806079110255164],[24.34828272133115,-11.806301117700963],[24.34818912091971,-11.806538411657504],[24.348130631855618,-11.806786252211333],[24.348108422548957,-11.807039688769136],[24.348122936730473,-11.807293658944126],[24.348173884580078,-11.807543089676523],[24.348260248508016,-11.807782998568394],[24.348380303473768,-11.808008593408536],[24.348531651437476,-11.808215367899384],[24.348711269256157,-11.808399191673526],[24.3489155690684,-11.808556392801531],[24.34914046996154,-11.808683831142678],[24.349381479489775,-11.808778961073099],[24.349633783414802,-11.80883988233802],[24.349892341876007,-11.808865378012122],[24.350151990068834,-11.808854938809414],[24.35040754141965,-11.80880877325704],[24.35065389119556,-11.808727803529612],[24.350886118478993,-11.80861364702737],[24.35109958446946,-11.808468584066219],[24.351290025148383,-11.80829551232528],[24.35145363645571,-11.80809788896203],[24.351587150276575,-11.807879661551668],[24.35168789972024,-11.80764518923043],[24.351753872387444,-11.807399155618366],[24.35178375056243,-11.80714647526124],[24.351776937527287,-11.806892195460499],[24.35173356947358,-11.80664139545256],[24.35165451277385,-11.80639908495126],[24.351541346668224,-11.806170104080119],[24.35139633171255,-11.805959026693156],[24.35122236461877,-11.805770069015255],[24.351022920390076,-11.805607005426712],[24.350801982906884,-11.805473093073916],[24.35056396535027,-11.805371006811734],[24.35031362205224,-11.8053027857768],[24.35005595353345,-11.805269792658667],[24.34994689558351,-11.805266623984798]]]}"
000000000000000003cf,45645,8CHI20_8_26112021,"{""type"":""Polygon"",""coordinates"":[[[23.232001211373046,-13.837198710221118],[23.231739896469822,-13.837216685317465],[23.231483801212626,-13.837270251562183],[23.231238040994555,-13.837358338993596],[23.23100752478446,-13.837479188103224],[23.230796857077618,-13.83763038497896],[23.230610245926155,-13.83780890951907],[23.230451418886027,-13.83801119575429],[23.230323548559223,-13.838233203073422],[23.230229189218537,-13.838470496930055],[23.230170225780913,-13.838718337418678],[23.230147836149197,-13.838971773951162],[23.23016246767487,-13.83922574414273],[23.230213828212847,-13.839475174932295],[23.230300891947486,-13.839715083917362],[23.23042191987449,-13.839940678879334],[23.230574494530014,-13.84014745351095],[23.23075556827403,-13.84033127743361],[23.23096152416387,-13.840488478706082],[23.231188248202216,-13.840615917176152],[23.23143121151646,-13.8407110472097],[23.231685560827696,-13.840771968543768],[23.231946215401855,-13.840797464247517],[23.232207968545865,-13.840787025032617],[23.2324655916207,-13.840740859427175],[23.23271393849298,-13.840659889610022],[23.23294804833796,-13.84054573298853],[23.233163244739593,-13.840400669888092],[23.233355229107687,-13.840227597998892],[23.23352016654558,-13.840029974490202],[23.2336547624529,-13.83981174694878],[23.23375632833323,-13.83957727452128],[23.2338228354923,-13.839331240836207],[23.23385295555448,-13.83907856044512],[23.233846086988706,-13.838824280652172],[23.23380236711479,-13.83857348069316],[23.23372266935087,-13.838331170278027],[23.233608585757853,-13.838102189523445],[23.233462395230223,-13.837891112274171],[23.233287017969158,-13.837702154744134],[23.233085957147907,-13.83753909130188],[23.232863228934942,-13.83740517908217],[23.232623282272662,-13.837303092929284],[23.232370910014065,-13.837234871971175],[23.232111153191966,-13.837201878891278],[23.232001211373046,-13.837198710221118]]]}"
000000000000000000a0,129447,13CHI9_6_2832021,"{""type"":""Polygon"",""coordinates"":[[[23.278710294907892,-13.931428433682537],[23.27844887375206,-13.931446408777902],[23.278192674363765,-13.931499975019754],[23.277946814215287,-13.931588062446648],[23.27771620427092,-13.931708911550464],[23.27750545089777,-13.931860108419551],[23.277318763858887,-13.932038632952706],[23.27715987222607,-13.932240919181222],[23.277031949891793,-13.932462926494429],[23.27693755216815,-13.932700220346387],[23.276878564739473,-13.932948060831958],[23.27685616598862,-13.933201497363259],[23.276870803450137,-13.9334554675556],[23.27692218486125,-13.933704898347841],[23.27700928399023,-13.93394480733727],[23.277130361126456,-13.934170402304938],[23.277282997823654,-13.93437717694314],[23.27746414520281,-13.934561000872751],[23.27767018485043,-13.934718202151977],[23.27789700109592,-13.934845640628078],[23.278140063224388,-13.934940770666453],[23.278394515982455,-13.93500169200375],[23.278655276568923,-13.935027187708892],[23.278917136172222,-13.935016748493418],[23.279174864025904,-13.934970582885496],[23.279423311902807,-13.934889613064145],[23.279657516959876,-13.934775456437077],[23.279872800878678,-13.93463039333012],[23.280064863320547,-13.934457321433989],[23.280229867829224,-13.934259697918492],[23.280364518464793,-13.934041470370937],[23.28046612563806,-13.933806997938467],[23.280532659830573,-13.93356096424998],[23.28056279212748,-13.933308283857302],[23.280555920754214,-13.93305400406472],[23.28051218308756,-13.932803204108],[23.280432452901923,-13.932560893696897],[23.280318322906577,-13.932331912947767],[23.28017207292343,-13.932120835704932],[23.279996624341646,-13.931931878181812],[23.279795481759194,-13.9317688147464],[23.279572662977557,-13.931634902532917],[23.27933261874785,-13.931532816385147],[23.27908014387136,-13.93146459543063],[23.27882028142993,-13.931431602352523],[23.278710294907892,-13.931428433682537]]]}"
0000000000000000033e,129348,50ZAM5_12_19112021,"{""type"":""Polygon"",""coordinates"":[[[23.533998289318717,-13.533199495902446],[23.533737311807073,-13.533217471001945],[23.533481547204932,-13.533271037255886],[23.533236104303196,-13.533359124701853],[23.533005885734525,-13.53347997383021],[23.532795490050393,-13.533631170727357],[23.532609119870127,-13.533809695289863],[23.532450497936328,-13.53401198154668],[23.53232279275322,-13.534233988884896],[23.532228555293322,-13.53447128275658],[23.532169668036882,-13.534719123255025],[23.5321473073624,-13.534972559791328],[23.532161920040107,-13.535226529980397],[23.53221321429851,-13.535475960761348],[23.532300165643225,-13.535715869732377],[23.53242103731269,-13.535941464675991],[23.532573414962638,-13.5361482392864],[23.532754254887305,-13.536332063186688],[23.532959944814426,-13.536489264437389],[23.53318637605998,-13.536616702888036],[23.533429025601333,-13.536711832906047],[23.53368304642928,-13.536772754229697],[23.53394336437378,-13.53679824992898],[23.53420477946877,-13.536787810715918],[23.534462069830635,-13.536741645118472],[23.53471009597466,-13.536660675314836],[23.534943903484947,-13.536546518711312],[23.53515882198632,-13.536401455631857],[23.535350558440662,-13.536228383764996],[23.53551528290359,-13.536030760278217],[23.535649705028312,-13.53581253275654],[23.535751139788353,-13.535578060345049],[23.535817561106548,-13.535332026670977],[23.5358476423194,-13.535079346285002],[23.535840782669055,-13.534825066490882],[23.535797119294333,-13.5345742665245],[23.53571752448206,-13.534331956096386],[23.53560358823435,-13.534102975324243],[23.53545758650063,-13.533891898054222],[23.535282435709842,-13.53370294050191],[23.5350816345112,-13.533539877037615],[23.53485919388772,-13.533405964797856],[23.534619557038493,-13.533303878628505],[23.534367510629966,-13.533235657658818],[23.53410808918858,-13.533202664573164],[23.533998289318717,-13.533199495902446]]]}"
000000000000000002de,124140,45ZAM10_4_1242021,"{""type"":""Polygon"",""coordinates"":[[[23.48207205755134,-13.488951836149102],[23.481811128463004,-13.48896981124906],[23.481555411317345,-13.489023377504342],[23.481310013957685,-13.489111464952424],[23.48107983810731,-13.4892323140835],[23.480869481464623,-13.489383510983764],[23.480683145869218,-13.489562035549524],[23.48052455337287,-13.48976432180948],[23.48039687189169,-13.48998632915047],[23.480302651924525,-13.490223623024342],[23.480243775601892,-13.490471463524214],[23.480221419083506,-13.490724900061071],[23.480236029056172,-13.490978870249775],[23.480287313802002,-13.491228301029475],[23.480374249016265,-13.491468209998464],[23.480495098259247,-13.491693804939413],[23.48064744763443,-13.491900579546737],[23.480828254000688,-13.492084403443771],[23.481033905756075,-13.492241604691312],[23.481260294979148,-13.492369043139135],[23.481502899486877,-13.492464173154888],[23.481756873169914,-13.492525094477022],[23.482017142800302,-13.492550590175659],[23.482278509377476,-13.492540150962862],[23.482535751987374,-13.492493985366577],[23.482783732099517,-13.492413015564908],[23.483017496217833,-13.492298858963993],[23.483232374834156,-13.492153795887589],[23.48342407570721,-13.491980724023971],[23.483588769603386,-13.49178310054038],[23.48372316678638,-13.491564873021574],[23.483824582727717,-13.491330400612405],[23.483890991725854,-13.491084366939933],[23.48392106736301,-13.490831686554706],[23.483914208992303,-13.490577406760412],[23.483870553726575,-13.490326606792959],[23.483790973690283,-13.490084296362959],[23.48367705859002,-13.489855315588263],[23.483531083952563,-13.489644238315229],[23.48335596566544,-13.489455280759678],[23.48315520172855,-13.48929221729218],[23.482932802380688,-13.489158305049507],[23.482693209996654,-13.48905621887776],[23.48244121035498,-13.488987997906394],[23.48218183704831,-13.488955004819902],[23.48207205755134,-13.488951836149102]]]}"
000000000000000002fb,121827,47MIN47_10_2132022,"{""type"":""Polygon"",""coordinates"":[[[24.434313087514703,-11.689593083557352],[24.43405398223974,-11.689611058675839],[24.433800052493396,-11.689664624985225],[24.433556370431003,-11.689752712518684],[24.433327803525554,-11.689873561759635],[24.433118917345997,-11.690024758785517],[24.432933884364342,-11.69020328348267],[24.432776400612912,-11.690405569869343],[24.432649611856178,-11.690627577322292],[24.43255605075203,-11.690864871284475],[24.432497586257764,-11.691112711841985],[24.432475386291735,-11.691366148401217],[24.432489894397058,-11.691620118575269],[24.43254082087396,-11.691869549304442],[24.43262714855862,-11.69210945819105],[24.432747153133658,-11.692335053024314],[24.43289843756516,-11.692541827507217],[24.433077979978854,-11.692725651272971],[24.4332821940195,-11.692882852392819],[24.433507000487968,-11.693010290726692],[24.43374790882512,-11.693105420651285],[24.4340001068147,-11.693166341912306],[24.43425855671312,-11.693191837584733],[24.434518095885387,-11.693181398382713],[24.43477353993661,-11.693135232833333],[24.43501978627821,-11.693054263110973],[24.435251916059563,-11.69294010661546],[24.435465292428418,-11.692795043662175],[24.435655653156758,-11.692621971929606],[24.43581919578161,-11.692424348574571],[24.435952653559838,-11.692206121171607],[24.436053360719647,-11.691971648856363],[24.436119305705656,-11.691725615248428],[24.436149171354106,-11.691472934893214],[24.436142361196282,-11.691218655092033],[24.436099011365197,-11.690967855081333],[24.436019987868406,-11.690725544575171],[24.43590686928193,-11.690496563697446],[24.43576191521177,-11.690285486302711],[24.435588021153272,-11.690096528616461],[24.43538866065064,-11.68993346501966],[24.43516781591206,-11.689799552659354],[24.434929898266493,-11.689697466391],[24.43467966005096,-11.689629245351727],[24.434422099687982,-11.689596252231432],[24.434313087514703,-11.689593083557352]]]}"
